simulation_id,commercialization_year,total_cost,total_duration,total_revenue,total_treated,success
72,2031.0,25603232.804991648,6.449984187521766,3263581256.014252,1419,True
73,2032.0,29189587.169828087,7.3121258059408865,3176184435.909573,1381,True
74,,5848569.498646239,3.5489885055941066,0.0,0,True
75,2031.0,23519381.704267263,6.711953366189247,3268181088.6513405,1421,True
76,2032.0,23975127.837719955,7.3320172093675655,3194583766.457926,1389,True
77,,1834295.4920438677,1.7492550293479665,0.0,0,True
78,2030.0,23483823.44638765,5.895286857326621,3346378243.481844,1455,True
79,,4236466.495964511,3.44929879508856,0.0,0,True
80,2032.0,24534687.306029078,7.268133734515911,3157785105.3612185,1373,True
81,2032.0,23977490.333732076,7.393521003556782,3176184435.9095726,1381,True
82,,6462174.707124636,3.358563133553609,0.0,0,True
83,2031.0,20165738.53977643,6.427875911289225,3272780921.2884297,1423,True
84,,5117545.754635389,2.976164991875506,0.0,0,True
85,2031.0,26886912.772826165,6.001766155951568,3258981423.3771644,1417,True
86,2031.0,24518514.74550114,6.972873919917731,3268181088.651341,1421,True
87,2031.0,28523533.658222966,6.631332563923908,3256681507.058619,1416,True
88,2031.0,22167386.66513133,6.807169072843574,3265881172.3327966,1420,True
89,2032.0,18750216.055175576,7.528603637584817,3176184435.909572,1381,True
90,2031.0,27955320.787261095,6.44863639938022,3256681507.0586195,1416,True
91,2031.0,24834226.506882526,6.794858614079827,3265881172.332797,1420,True
92,2032.0,28048506.592800904,7.029170925044963,3229082511.236089,1404,True
93,,5071156.247215873,4.191576799883878,0.0,0,True
94,2031.0,21063963.445502885,6.659231529045759,3268181088.651342,1421,True
95,,4543294.236157202,3.7593474844482633,0.0,0,True
96,,5910061.913982447,3.123359951835485,0.0,0,True
97,,1080640.41548909,1.2250364691393176,0.0,0,True
98,2031.0,19879964.62530282,6.3566184693340215,3261281339.6957088,1418,True
99,2032.0,26164550.708146673,7.6265717943194975,3192283850.139382,1388,True
100,2032.0,22504504.80208105,7.45718249643082,3189983933.8208375,1387,True
101,,1702532.8664869545,1.8804265199593353,0.0,0,True
