simulation_id,year,patients_alive,patients_treated,revenue,price
7,2043,396,40,91996652.74176893,2299916.318544223
7,2044,370,32,73597322.19341514,2299916.318544223
7,2045,348,28,64397656.91923824,2299916.318544223
7,2046,342,34,78197154.83050358,2299916.318544223
7,2047,329,42,96596485.37885736,2299916.318544223
7,2048,310,33,75897238.51195936,2299916.318544223
7,2049,302,37,85096903.78613625,2299916.318544223
7,2050,282,31,71297405.87487091,2299916.318544223
7,2051,272,29,66697573.23778246,2299916.318544223
7,2052,252,31,71297405.87487091,2299916.318544223
7,2053,244,33,75897238.51195936,2299916.318544223
7,2054,243,42,96596485.37885736,2299916.318544223
7,2055,219,28,64397656.91923824,2299916.318544223
7,2056,214,37,85096903.78613625,2299916.318544223
7,2057,199,32,73597322.19341514,2299916.318544223
7,2058,189,33,75897238.51195936,2299916.318544223
7,2059,177,36,82796987.46759203,2299916.318544223
7,2060,152,19,43698410.05234024,2299916.318544223
12,2032,1057,60,137994979.11265337,2299916.318544223
12,2033,1002,76,174793640.20936096,2299916.318544223
12,2034,949,123,282889707.18093944,2299916.318544223
12,2035,829,142,326588117.23327965,2299916.318544223
12,2036,715,130,298989121.41074896,2299916.318544223
12,2037,595,83,190893054.4391705,2299916.318544223
12,2038,520,39,89696736.4232247,2299916.318544223
12,2039,489,31,71297405.87487091,2299916.318544223
12,2040,468,34,78197154.83050358,2299916.318544223
12,2041,452,34,78197154.83050358,2299916.318544223
12,2042,437,42,96596485.37885736,2299916.318544223
12,2043,419,39,89696736.4232247,2299916.318544223
12,2044,394,33,75897238.51195936,2299916.318544223
12,2045,372,29,66697573.23778246,2299916.318544223
12,2046,364,37,85096903.78613625,2299916.318544223
12,2047,346,37,85096903.78613625,2299916.318544223
12,2048,331,34,78197154.83050358,2299916.318544223
12,2049,319,37,85096903.78613625,2299916.318544223
12,2050,297,32,73597322.19341514,2299916.318544223
12,2051,286,30,68997489.55632669,2299916.318544223
12,2052,266,29,66697573.23778246,2299916.318544223
12,2053,260,32,73597322.19341514,2299916.318544223
12,2054,260,45,103496234.33449003,2299916.318544223
12,2055,231,26,59797824.2821498,2299916.318544223
12,2056,228,38,87396820.10468048,2299916.318544223
12,2057,212,32,73597322.19341514,2299916.318544223
12,2058,199,34,78197154.83050358,2299916.318544223
12,2059,185,35,80497071.1490478,2299916.318544223
12,2060,161,18,41398493.733796015,2299916.318544223
15,2031,1048,58,133395146.47556493,2299916.318544223
15,2032,1000,94,216192133.94315696,2299916.318544223
15,2033,911,115,264490376.63258564,2299916.318544223
15,2034,823,134,308188786.68492585,2299916.318544223
15,2035,696,119,273690041.90676254,2299916.318544223
15,2036,603,94,216192133.94315696,2299916.318544223
15,2037,520,42,96596485.37885736,2299916.318544223
15,2038,487,32,73597322.19341514,2299916.318544223
15,2039,465,23,52898075.32651713,2299916.318544223
15,2040,453,33,75897238.51195936,2299916.318544223
15,2041,437,35,80497071.1490478,2299916.318544223
15,2042,420,39,89696736.4232247,2299916.318544223
15,2043,405,41,94296569.06031314,2299916.318544223
15,2044,379,30,68997489.55632669,2299916.318544223
15,2045,360,30,68997489.55632669,2299916.318544223
15,2046,352,35,80497071.1490478,2299916.318544223
15,2047,336,41,94296569.06031314,2299916.318544223
15,2048,317,32,73597322.19341514,2299916.318544223
15,2049,307,36,82796987.46759203,2299916.318544223
15,2050,290,32,73597322.19341514,2299916.318544223
15,2051,278,28,64397656.91923824,2299916.318544223
15,2052,259,31,71297405.87487091,2299916.318544223
15,2053,251,33,75897238.51195936,2299916.318544223
15,2054,249,43,98896401.69740158,2299916.318544223
15,2055,223,29,66697573.23778246,2299916.318544223
15,2056,217,36,82796987.46759203,2299916.318544223
15,2057,203,34,78197154.83050358,2299916.318544223
15,2058,190,34,78197154.83050358,2299916.318544223
15,2059,178,33,75897238.51195936,2299916.318544223
15,2060,157,18,41398493.733796015,2299916.318544223
16,2031,1048,54,124195481.20138805,2299916.318544223
16,2032,1003,102,234591464.49151075,2299916.318544223
