simulation_id,preclinical_success,preclinical_cost,preclinical_duration,phase12_success,phase12_cost,phase12_duration,phase3_success,phase3_cost,phase3_duration,approval_success,approval_cost,approval_duration
123,True,1388103.2154137106,1.8094738094279106,True,5073101.365496692,2.1962032798589526,True,16738916.569932193,2.1238644375436504,True,3847705.387520125,0.9556108576693594
124,True,1834401.7734290077,1.01151891107967,True,3600037.098334889,2.174715098195991,True,16312209.146964837,2.5467637436869177,True,4336792.426693719,0.6195448478590261
125,False,1332500.4435350462,1.6896432074005072,,,,,,,,,
126,True,1822007.501630506,1.0865220535482756,True,4658197.785492951,1.5919534077661264,True,12236847.657199768,2.1637034479467405,True,3068240.8216104317,0.5409581194222214
127,False,931922.9018605478,1.8847882951065527,,,,,,,,,
128,True,1576448.5362447752,1.2475287290440262,True,3398838.13989187,2.063815126519752,True,19156524.480912544,2.28228361845164,True,2710467.6223697476,0.8383479738075534
129,True,1067121.3212663436,1.7995349283999897,True,5522496.734709707,1.5661197648994365,True,18312869.68022169,2.589666389245393,True,2120038.175815826,0.6260666214384392
130,True,1072978.4371489375,1.573355482174909,False,3894464.722496447,1.609236057872082,,,,,,
131,True,1400212.5823059096,1.687970479222753,True,4194177.28476978,1.7766222235702611,True,17771504.09582808,2.9308234804023363,True,4021145.656808433,0.8448186999339561
132,False,1600432.8889901082,1.3179269856048275,,,,,,,,,
133,True,1356043.88535116,1.6178287723361353,True,3006345.034011147,1.9981441146707708,False,15414024.885921277,2.694057130830103,,,
134,True,1621636.7330340939,1.7621244837450156,True,4347836.498703075,1.534530603930801,True,19928403.071683437,2.1832812235240113,True,4289485.8929419415,0.8784138622441808
135,True,1342968.2671983317,1.2139858857560841,True,5882809.37438371,2.246178195161454,True,13240964.813202132,2.6942539737630553,True,3358290.5491264444,0.8087599988184997
136,True,1268591.5750283264,1.7081442647226686,False,5069165.042669243,2.2813531133979925,,,,,,
137,True,1602662.0927956428,1.5075651261874468,True,3809316.456087602,2.4976823934201917,True,11653051.780963443,2.850098889624247,True,4682860.281715868,0.662642586672294
138,True,883330.680189285,1.1824430692625825,True,4934618.255860012,2.36916072083809,False,19479139.688712474,2.2343978932065514,,,
139,True,1963442.4062583067,1.0850578237915691,False,4988755.91467578,2.4940141124570276,,,,,,
140,True,1069010.9791172692,1.8332371366680973,True,4790075.402701795,2.383675136250092,True,16849329.545129757,2.9940858682608567,True,4151061.727572955,0.8082587131252639
141,True,1008534.7344762001,1.9195921417261101,True,5084796.3638744615,1.987923744590661,True,15531165.027548768,2.729162949573856,True,2574774.7477791407,0.6923994798254139
142,True,1494936.1991850482,1.5987500871006928,True,3240198.81269852,1.528765039879441,True,10708315.98352774,2.307450246390229,True,4713856.93599618,0.8186639014444965
143,True,1744371.726145594,1.65236075043916,True,5948231.938916294,1.7566346431204982,True,10387872.501760961,2.453914580414476,True,4492681.021292631,0.790493349165478
144,True,882728.8113525284,1.8785814936768641,True,4317096.944878458,1.5901798119956143,True,12849679.181535536,2.985559835592472,True,4521719.331384324,0.879520020338453
